reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0ad428e1-ee55-4725-b725-7538d32076bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"males banget dikit² premium iwh, masa ganti lagu harus premium? jadi emosi aku 😂",1,2,9.0.14.561,2025-02-02 03:36:02,,,9.0.14.561
85690ffe-d3cf-45a3-950f-791e262d2925,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sebenarnya bagus... Tapi sekarang masa gw apa apa, kayak klik lagu tiba-tiba ""ayo jelajahi premium""? Ya ga bisa gitu dong lu bikin orang buat premium! Jadi nya ga bisa gw putar lagu! Dah gitu Krna gw terpaksa, gw pilih lagu ini yg keputer itu, kan gimana ya, jadinya gw ga bisa nyetel lagu kecuali kalo gw premium gitu!? Curang Lo! Dan gw bisa kasih bukti!",1,3,9.0.14.561,2025-02-01 12:19:48,,,9.0.14.561
b1c478f9-4f78-4328-b51c-872bfd1b4349,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi lagu amnesia saya sudah punya akun tapi sandi nya salah terus,2,0,9.0.14.561,2025-01-31 16:03:54,,,9.0.14.561
8b68a605-525f-4b28-9500-b673fb38fd6d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya sangat suka dengan aplikasi ini karna aplikasi ini membuat saya senang karna lagu lagu nya dan rasa sedih saya hilang karna memutar lagu di aplikasi ini terimakasih sudah memberi saya kesempatan untuk memberi rating aplaikasi ini.,5,0,,2025-01-30 06:57:25,,,
23da100a-57bb-4b29-8158-7c8bf887207a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,😁,1,2,9.0.12.567,2025-01-27 09:36:08,,,9.0.12.567
ababf639-8593-45d1-9df0-82a54dac2c40,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Rusdi kewer kewer,5,1,,2025-01-19 14:00:54,,,
f9ddb7dc-42a8-4ecd-84ea-fd9dcf77279d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Musik gak bisa diputar, semua lagu gak bisa diputar, jelek",1,8,8.8.90.893,2025-01-18 10:28:16,,,8.8.90.893
1a7ee7e6-1b9b-4091-abe2-66e1039598ba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,1000000000 sporty membuat ku sad,4,3,9.0.10.415,2025-01-18 10:12:27,,,9.0.10.415
d8652ef2-1c33-4bc9-be21-3e0a8854f14a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bgus bgus,5,0,8.8.40.470,2025-01-16 01:04:51,,,8.8.40.470
f310814b-bc12-4f2a-9ed6-25ecd3f99847,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,9.0.2.459,2025-01-08 03:15:13,,,9.0.2.459
